ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,symbol
2026-05-03T22:00:00.068103278Z,2026-05-03T22:00:00.000000000Z,0,1,42005163,T,N,0,7275.250000000,424,0,26229,17254,MESM6
2026-05-03T22:00:00.082193308Z,2026-05-03T22:00:00.000000000Z,0,1,42012050,T,N,0,55.300000000,1,0,14420,17257,MESM6-MESU6
2026-05-03T22:00:00.082696974Z,2026-05-03T22:00:00.000000000Z,0,1,42003239,T,N,0,7320.000000000,1,0,12488,17258,MESU6
2026-05-03T22:00:00.104303777Z,2026-05-03T22:00:00.042466659Z,0,1,42005163,T,A,0,7275.000000000,1,0,11036,17550,MESM6
2026-05-03T22:00:00.104406011Z,2026-05-03T22:00:00.042941779Z,0,1,42005163,T,B,0,7275.750000000,1,0,10730,17552,MESM6
2026-05-03T22:00:00.105177542Z,2026-05-03T22:00:00.074246875Z,0,1,42005163,T,A,0,7275.000000000,3,0,12250,17589,MESM6
2026-05-03T22:00:00.105284481Z,2026-05-03T22:00:00.074359229Z,0,1,42005163,T,A,0,7275.000000000,3,0,12450,17592,MESM6
2026-05-03T22:00:00.106479043Z,2026-05-03T22:00:00.091203307Z,0,1,42005163,T,B,0,7275.750000000,5,0,12827,17628,MESM6
2026-05-03T22:00:00.106479043Z,2026-05-03T22:00:00.091203307Z,0,1,42005163,T,B,0,7276.000000000,22,0,12827,17628,MESM6
2026-05-03T22:00:00.112627751Z,2026-05-03T22:00:00.102465749Z,0,1,42005163,T,B,0,7276.750000000,7,0,13910,17686,MESM6
2026-05-03T22:00:00.112627751Z,2026-05-03T22:00:00.102465749Z,0,1,42005163,T,B,0,7277.000000000,3,0,13910,17686,MESM6
2026-05-03T22:00:00.112676729Z,2026-05-03T22:00:00.102465749Z,0,1,42005163,T,B,0,7277.000000000,1,0,10830,17687,MESM6
2026-05-03T22:00:00.112705124Z,2026-05-03T22:00:00.102465749Z,0,1,42005163,T,B,0,7277.000000000,1,0,10750,17688,MESM6
2026-05-03T22:00:00.112738089Z,2026-05-03T22:00:00.102465749Z,0,1,42005163,T,B,0,7277.000000000,1,0,12462,17689,MESM6
